Belt_Speed,Belt_Tension,Motor_Current,Roller_Bearing_Temperature,Idler_Vibration,Belt_Slip_Percentage,Load_Weight,Ambient_Temperature,Conveyor_Failure
1.82,22.6,41.6,33.7,4.65,1.61,386.9,29.7,0
2.14,25.04,32.3,61.5,0.65,1.09,451.9,40.1,0
1.72,18.41,21.5,62.4,2.51,0.79,557.7,12.4,0
2.44,19.94,35.6,49.1,3.12,0.13,514.3,36.3,0
2.81,23.57,63.0,40.5,3.81,0.09,529.9,25.3,0
2.69,23.54,41.9,42.7,3.03,0.86,465.3,24.6,0
2.11,24.28,52.8,46.0,0.46,1.16,373.9,32.1,0
2.8,26.95,23.8,50.8,2.42,1.29,454.0,21.8,0
2.26,15.59,34.9,45.0,1.56,2.7,375.1,24.9,0
2.07,17.61,31.5,39.4,7.82,2.03,45.8,32.2,0
1.95,23.03,43.0,58.2,5.61,0.18,498.0,24.3,0
2.08,18.74,69.2,50.6,1.68,1.9,461.0,23.1,0
2.04,37.2,49.6,37.5,1.43,1.35,685.5,23.0,0
2.27,24.32,62.0,50.9,3.91,2.11,603.4,30.5,0
2.26,21.65,42.5,49.6,0.51,2.22,571.4,19.6,0
2.2,19.68,58.6,40.8,1.37,0.51,350.1,33.3,0
2.37,19.84,65.7,60.0,2.72,0.37,652.9,42.8,0
2.68,22.14,43.9,49.3,0.71,0.97,521.2,28.0,0
2.58,22.5,39.6,45.8,0.3,0.43,446.4,31.0,0
1.61,19.94,31.8,47.2,2.46,0.52,382.6,29.9,0
1.18,20.77,41.9,52.4,1.98,0.09,401.8,21.5,0
2.57,28.05,45.8,47.3,3.73,5.7,461.5,30.2,0
1.65,28.23,65.3,47.2,0.65,0.44,346.0,29.6,0
2.11,23.13,32.1,58.7,1.21,1.82,505.7,40.4,0
1.73,15.96,45.6,33.8,0.67,5.98,475.2,29.7,0
1.48,24.42,26.9,35.5,2.49,4.17,603.0,36.7,0
2.42,28.99,40.7,55.8,0.3,1.21,477.6,31.0,0
2.5,28.16,48.1,72.2,2.02,0.93,226.9,24.4,0
1.97,25.3,50.1,56.8,4.64,0.44,453.6,19.7,0
1.16,28.4,50.9,66.6,5.2,2.37,330.6,30.2,0
1.98,22.24,49.0,43.7,2.61,0.49,410.5,33.3,0
2.36,24.83,50.8,41.6,1.98,0.14,358.4,27.4,0
1.61,18.94,45.5,52.6,4.31,0.42,813.5,23.6,0
2.27,23.32,34.5,57.5,1.48,0.45,449.0,37.8,0
2.19,27.98,26.5,34.9,2.01,1.52,607.6,24.9,0
2.43,19.35,39.5,45.9,2.22,0.22,454.0,19.9,0
2.25,18.12,43.7,47.7,1.53,0.46,466.0,27.5,0
1.81,22.44,57.5,41.2,1.05,0.1,428.7,28.5,0
2.68,20.98,44.0,42.4,2.49,2.26,395.6,22.9,0
2.14,24.92,43.0,56.4,2.01,1.55,398.8,27.4,0
2.19,19.96,48.9,52.7,2.62,0.69,556.2,16.1,0
1.83,29.73,42.3,56.0,1.12,0.67,491.0,31.0,0
2.02,16.2,53.1,51.4,1.74,0.22,699.4,20.7,0
1.85,27.64,64.8,39.3,1.98,0.58,467.0,25.3,0
2.13,18.56,66.9,52.2,2.81,2.85,458.6,23.3,0
2.88,13.92,46.0,38.5,1.01,0.18,506.1,37.8,0
1.65,23.07,48.4,44.9,2.19,1.74,590.9,25.9,0
1.55,20.85,60.8,37.6,2.46,0.06,517.4,22.1,0
2.79,17.01,43.5,41.9,0.5,0.45,701.9,42.6,0
2.12,14.43,51.8,48.9,1.5,2.25,886.7,40.6,0
1.93,21.96,33.6,43.4,2.26,0.71,622.9,33.9,0
2.62,26.39,41.9,39.2,0.78,1.46,556.4,31.9,0
1.96,24.63,56.6,59.4,3.88,0.13,199.9,21.9,0
2.93,22.26,37.8,46.8,2.06,1.38,707.7,35.6,0
2.47,24.15,43.7,42.7,2.2,2.05,684.1,30.6,0
2.0,21.88,29.3,37.2,4.42,1.96,730.2,23.5,0
3.06,15.57,65.1,29.3,1.29,0.69,619.4,29.0,0
1.96,15.61,57.6,45.8,3.49,2.81,357.6,24.8,0
2.5,21.09,46.9,34.2,2.17,1.03,355.2,17.3,0
2.32,21.28,50.1,55.1,1.98,2.04,336.4,37.6,0
2.72,25.83,49.0,48.3,3.62,0.29,512.1,15.3,0
2.82,25.41,58.8,63.6,2.51,0.28,394.8,43.1,0
2.21,24.72,39.8,50.2,3.75,1.68,628.9,26.5,0
1.9,20.74,52.3,40.7,0.6,1.25,414.2,31.2,0
2.38,15.79,55.8,29.2,3.63,1.35,451.1,31.7,0
1.93,23.85,57.2,56.1,0.82,0.32,539.7,21.1,0
3.01,24.36,22.4,35.0,0.3,0.61,428.3,26.5,0
2.25,11.25,39.0,43.9,0.3,0.36,363.8,27.3,0
2.05,18.25,34.8,64.7,4.5,0.08,228.1,23.8,0
2.27,18.89,46.5,54.1,3.88,0.27,639.6,35.3,0
1.66,22.53,24.8,51.9,3.64,6.4,361.8,19.5,1
1.81,18.38,24.5,57.4,0.3,0.32,442.5,29.4,0
2.68,21.83,66.7,57.1,0.74,0.21,444.4,16.0,0
1.94,21.05,51.2,63.8,2.74,1.43,190.8,29.7,0
1.78,21.28,46.2,42.0,2.65,1.11,543.0,29.2,0
2.41,18.78,48.6,44.2,2.5,1.64,710.7,41.4,0
2.67,19.12,46.5,38.8,1.3,1.27,643.9,23.7,0
2.49,17.14,55.0,47.7,1.87,0.3,443.6,26.8,0
2.6,23.71,38.7,46.7,1.37,0.83,658.2,26.3,0
1.9,24.57,46.9,30.5,1.87,0.23,239.9,39.8,0
1.63,18.53,47.3,41.5,4.37,0.35,624.8,24.0,0
2.8,28.84,34.5,62.4,1.37,5.2,390.3,29.6,0
2.07,20.58,57.8,50.4,1.83,1.57,645.2,25.9,0
2.1,28.89,40.5,55.2,0.3,1.83,505.3,26.9,0
2.73,19.11,55.2,46.8,4.71,0.04,319.4,28.1,0
2.42,12.88,46.1,29.1,4.29,0.58,537.1,35.7,0
2.38,23.81,61.3,46.7,0.84,0.97,500.1,38.2,0
3.07,23.12,34.6,58.4,1.11,0.19,535.7,18.3,0
1.94,22.15,34.2,36.1,1.11,2.26,379.7,33.5,0
2.57,19.11,35.9,55.5,0.55,0.18,324.3,36.8,0
2.22,21.84,46.3,31.0,3.62,1.21,592.0,30.4,0
2.31,19.7,60.4,48.2,1.03,0.97,489.9,36.3,0
2.81,20.64,60.9,53.4,1.5,2.27,585.9,19.3,0
2.4,25.79,21.9,44.9,0.68,0.45,583.2,31.6,0
2.42,22.83,47.5,72.7,0.91,0.4,606.2,36.7,0
2.63,24.74,12.9,43.1,0.69,2.25,742.8,23.6,0
2.05,20.96,53.0,42.2,0.76,0.3,529.9,19.0,0
1.86,20.46,56.2,50.0,0.46,1.64,350.4,36.0,0
1.78,16.81,44.6,40.5,0.3,0.25,383.9,25.0,0
1.41,20.33,45.8,33.6,1.59,2.5,456.5,24.0,0
3.02,7.05,45.7,37.0,4.51,2.19,531.7,14.8,0
1.76,19.34,37.2,55.6,2.09,1.86,706.8,24.4,0
2.11,21.63,49.3,45.0,2.64,0.81,478.9,23.1,0
2.09,24.54,42.7,65.0,2.09,0.04,751.9,15.4,0
2.32,20.79,54.3,43.6,0.3,0.17,765.2,23.9,0
2.53,23.56,43.9,55.1,0.3,0.73,564.6,36.3,0
2.54,12.19,36.4,53.1,0.77,0.05,594.5,30.4,0
1.97,21.74,29.6,43.4,1.81,0.08,431.1,16.5,0
2.13,14.44,26.4,39.2,3.01,0.16,752.1,30.7,0
2.31,16.56,58.1,30.7,4.52,0.36,404.4,33.1,0
2.1,21.16,40.4,53.5,0.97,1.66,680.3,28.7,0
2.84,27.74,48.4,60.0,1.39,0.06,345.1,27.8,0
2.4,23.67,62.8,32.1,2.5,4.94,596.0,22.4,0
2.49,22.08,39.4,44.3,2.1,0.38,667.2,30.9,0
2.47,21.91,38.7,41.3,2.02,0.46,636.3,32.1,0
2.67,18.79,43.7,53.5,0.69,0.34,429.9,30.0,0
2.27,19.55,45.3,44.7,0.8,1.11,459.6,40.2,0
1.68,23.92,63.9,61.2,0.33,0.02,730.7,26.6,0
2.36,15.77,60.7,44.2,0.94,0.12,424.1,18.9,0
1.94,24.67,51.2,35.6,0.3,0.12,429.3,39.7,0
1.99,20.25,59.5,43.3,2.39,1.31,725.7,14.8,0
2.43,25.72,43.2,44.4,3.32,0.48,490.6,25.2,0
2.7,26.32,48.0,53.3,1.23,0.69,491.7,21.6,0
2.21,14.47,42.0,44.3,1.46,3.59,775.8,27.3,0
2.32,19.38,32.1,52.4,2.26,0.27,403.2,27.0,0
2.88,18.15,57.0,40.1,3.51,0.09,390.3,21.3,0
2.3,13.84,50.3,45.1,2.97,0.7,526.9,35.5,0
3.24,17.35,45.2,40.1,5.6,0.22,504.9,27.1,0
2.43,32.99,45.0,39.5,2.53,0.19,383.2,36.5,0
1.5,24.74,29.9,60.7,2.59,0.63,620.9,19.8,0
2.5,30.63,35.2,40.8,2.15,1.33,502.3,20.4,0
2.35,25.73,48.4,44.5,2.16,0.33,509.7,20.3,0
2.72,18.66,39.7,58.4,1.03,2.5,499.4,31.6,0
2.47,20.28,42.8,55.5,1.54,0.54,343.1,40.2,0
2.14,24.65,44.0,64.4,1.12,3.26,377.4,25.9,0
1.71,23.97,38.2,52.8,0.47,0.81,262.7,11.8,0
2.12,19.4,35.3,42.0,4.34,1.56,670.8,31.3,0
1.86,15.21,28.9,68.6,6.04,2.27,500.3,32.7,0
1.97,36.79,43.5,53.8,2.14,0.91,649.2,20.8,0
2.44,21.36,51.2,46.5,1.38,2.28,432.5,32.0,0
2.87,20.53,28.6,48.6,1.1,0.57,672.2,33.7,0
2.36,22.51,44.8,49.8,1.08,0.54,257.5,13.7,0
1.72,20.91,47.8,45.6,3.74,1.9,645.8,35.8,0
2.38,22.55,35.1,34.2,0.86,0.33,488.3,36.3,0
2.68,27.79,59.2,64.3,1.98,1.51,292.2,25.8,0
1.96,21.44,41.1,47.8,1.19,0.1,76.6,32.5,0
2.15,16.77,44.0,49.8,4.92,1.21,575.3,41.8,0
2.21,21.27,43.4,68.8,0.98,3.41,648.5,23.4,0
1.89,19.91,27.3,41.2,1.3,0.73,509.3,36.1,0
2.46,28.41,55.1,54.6,0.48,0.65,590.5,29.7,0
2.15,27.27,35.4,40.1,0.76,0.93,567.0,20.0,0
2.37,22.48,42.6,51.2,1.57,1.53,508.3,15.3,0
1.85,16.25,51.0,50.0,1.28,0.53,643.9,33.1,0
2.03,16.48,59.6,55.9,1.1,0.0,278.4,18.9,0
2.49,22.07,34.2,60.1,2.05,0.84,514.8,34.8,0
2.05,23.51,40.5,42.2,1.42,0.65,602.4,12.7,0
2.89,20.31,58.8,62.2,2.57,0.91,433.1,29.0,0
2.04,19.84,49.6,62.9,1.63,1.51,538.4,25.8,0
2.29,19.33,51.7,45.5,1.47,0.4,323.4,39.7,0
2.57,21.89,34.5,47.9,1.58,0.84,511.3,29.6,0
1.63,11.28,41.2,43.1,0.3,0.35,391.9,32.3,0
1.5,17.04,43.3,44.9,2.06,0.74,422.4,25.0,0
1.59,19.18,36.4,36.0,3.47,0.51,585.8,26.7,0
2.71,27.43,28.3,55.8,0.32,0.55,235.8,35.4,0
1.98,18.34,39.9,27.5,2.17,1.04,336.4,28.1,0
3.22,22.81,58.5,41.0,1.31,1.4,608.7,21.6,0
1.97,23.02,45.6,47.5,2.01,0.02,476.5,36.0,0
2.27,27.84,58.7,61.0,3.74,2.51,389.8,39.8,0
2.82,27.68,46.8,42.5,1.11,0.54,567.6,38.5,0
3.0,21.74,37.4,52.3,2.76,1.24,333.9,37.0,0
3.02,19.86,57.8,47.2,0.99,0.16,329.1,26.0,0
2.68,19.01,47.1,57.5,4.92,1.02,468.8,21.1,0
2.61,20.92,54.6,51.8,2.35,1.36,479.2,19.7,0
2.44,20.05,34.3,56.3,3.97,0.21,388.6,18.8,0
2.51,24.49,55.4,42.5,2.95,2.92,460.4,27.3,0
1.98,23.89,55.7,37.9,1.18,1.7,700.0,40.4,0
1.87,24.66,47.9,51.7,2.55,0.92,494.6,16.4,0
2.2,27.67,36.9,43.1,2.18,0.22,327.5,28.1,0
2.13,30.38,44.5,48.3,1.95,2.41,503.7,25.8,0
2.02,22.56,51.1,51.2,1.89,0.09,182.1,19.8,0
2.48,26.95,47.3,60.4,3.76,0.15,741.8,26.2,0
2.58,20.42,51.0,55.9,2.17,1.44,322.0,37.0,0
2.24,27.33,55.1,41.2,0.3,0.35,531.0,29.6,0
2.79,26.78,38.5,36.5,3.23,0.74,524.3,32.4,0
1.74,26.54,33.4,65.1,0.35,0.93,382.9,35.5,0
2.12,22.42,44.6,32.2,4.26,0.74,694.9,30.7,0
1.91,18.99,41.7,43.5,0.3,0.11,808.6,25.4,0
1.45,15.72,52.9,54.5,2.8,1.6,387.8,28.7,0
2.17,21.82,34.3,64.4,3.22,0.33,606.7,20.5,0
2.15,28.9,55.2,46.1,1.91,1.61,351.9,28.4,0
2.81,20.61,58.5,48.3,1.16,2.41,698.2,28.9,0
2.45,25.53,45.0,39.2,3.76,0.92,689.7,37.2,0
1.79,25.8,45.6,49.3,0.8,1.47,651.4,25.7,0
2.94,20.72,37.3,36.5,0.3,0.05,251.5,25.7,0
2.69,27.92,39.6,40.5,1.31,0.04,418.6,17.4,0
2.43,8.91,40.9,55.6,2.58,0.26,420.7,32.5,0
2.11,16.5,59.4,43.7,2.03,0.53,410.6,17.7,0
1.82,17.88,44.3,57.2,3.33,0.24,699.3,24.5,0
2.05,18.31,31.8,46.5,0.3,1.21,228.3,23.0,0
2.64,23.51,47.6,34.3,2.44,0.39,558.5,34.2,0
2.95,23.31,53.3,59.7,3.12,2.24,611.6,31.4,0
2.82,23.77,44.7,34.8,1.92,0.99,394.6,33.0,0
2.0,24.68,59.7,42.0,5.56,0.57,575.7,34.6,0
1.75,17.72,52.8,46.0,1.05,2.68,566.3,23.5,0
2.26,16.52,34.5,58.1,1.88,2.11,459.2,21.9,0
1.49,23.78,39.5,42.7,1.47,2.06,663.0,16.2,0
2.33,19.16,47.3,38.7,3.65,1.56,418.5,28.9,0
2.14,14.93,28.3,49.6,4.25,1.14,663.4,22.5,0
2.01,26.37,48.4,45.9,0.91,0.55,519.8,31.2,0
1.56,28.28,27.4,43.3,0.71,0.66,453.3,36.1,0
2.41,29.01,55.2,50.2,2.3,1.25,466.4,34.5,0
1.99,22.84,54.1,36.0,1.69,0.23,291.7,28.8,0
1.73,24.82,50.0,30.8,2.6,2.11,445.7,28.5,0
1.05,28.16,38.2,69.4,2.57,3.35,331.7,27.9,0
2.19,19.11,46.7,49.0,1.27,0.12,539.7,42.9,0
2.91,27.0,39.9,49.7,0.32,0.03,635.1,23.9,0
2.86,23.24,34.7,40.2,1.26,0.18,568.5,28.6,0
2.02,26.11,41.6,57.0,0.97,1.71,393.0,26.7,0
1.96,22.84,52.0,42.7,1.02,0.14,460.2,22.5,0
2.39,27.83,45.4,20.1,3.76,0.56,541.5,25.3,0
1.8,23.01,59.5,42.3,0.75,0.08,549.4,28.2,0
2.32,15.32,52.7,45.2,0.57,0.68,745.6,19.7,0
2.51,28.53,51.6,46.3,1.8,1.11,593.5,39.5,0
2.69,17.74,28.9,46.0,1.16,1.19,522.2,33.1,0
2.16,27.64,42.1,41.6,2.78,0.88,515.6,35.6,0
2.12,21.59,34.4,40.6,2.19,3.34,447.8,26.9,0
1.85,27.29,43.2,45.0,2.43,0.91,500.0,25.8,0
1.87,27.11,38.1,31.5,2.27,2.35,607.6,26.5,0
2.11,23.94,41.2,28.4,2.14,5.96,394.0,23.1,0
2.35,24.29,55.6,49.0,1.3,0.31,561.6,37.1,0
2.57,23.9,49.8,49.1,1.91,0.37,483.7,37.8,0
1.88,12.94,55.1,56.8,1.53,0.89,757.7,31.8,0
2.8,22.53,29.0,45.4,0.57,0.24,544.3,39.9,0
2.09,16.98,45.6,36.1,2.13,1.0,549.2,44.8,0
2.19,22.77,54.7,28.6,0.64,1.38,371.6,40.9,0
1.9,16.86,60.1,39.1,2.89,0.07,719.6,24.7,0
1.23,16.67,29.5,52.2,0.73,1.37,576.0,11.1,0
2.55,29.22,41.5,62.4,1.02,0.21,704.6,33.2,0
2.49,26.81,55.3,48.5,0.84,0.43,472.4,31.0,0
2.09,21.98,43.1,35.9,3.11,1.61,499.8,28.8,0
2.23,22.83,35.9,39.2,2.76,0.21,294.4,26.4,0
2.41,20.88,29.5,39.5,2.38,0.91,776.7,37.5,0
1.57,24.56,35.5,43.9,1.13,1.07,555.4,17.2,0
1.99,18.96,28.1,59.2,2.29,0.22,778.4,38.7,0
2.52,26.47,45.6,60.0,3.01,0.39,447.6,40.1,0
1.7,20.86,54.0,46.3,1.62,1.12,570.8,29.1,0
2.32,20.11,32.4,49.8,0.87,0.74,648.9,30.0,0
1.66,22.1,47.6,40.0,2.42,1.29,549.5,19.7,0
2.39,19.34,53.5,30.9,3.21,2.31,450.1,35.0,0
2.19,23.48,45.0,65.9,2.85,0.17,428.8,36.9,0
1.55,19.58,28.9,24.8,3.07,0.09,447.9,33.4,0
2.67,24.11,48.9,29.6,2.05,1.32,900.6,19.3,0
1.91,27.47,44.5,66.0,3.17,1.77,406.8,16.7,0
1.88,18.76,43.4,48.2,3.59,0.72,202.0,26.3,0
2.28,21.41,39.5,36.7,1.52,0.6,505.6,28.6,0
2.66,24.08,45.9,54.8,1.44,1.09,503.7,35.1,0
1.79,20.04,50.1,55.7,1.24,0.96,452.8,26.3,0
2.22,24.09,68.9,34.7,0.56,0.81,406.9,35.4,0
2.37,24.5,46.1,42.7,0.46,2.05,458.9,35.9,0
2.48,26.87,60.1,56.8,5.93,0.23,302.0,31.3,0
2.27,19.27,48.6,39.8,0.3,1.37,766.8,34.1,0
2.05,17.76,44.0,50.8,1.48,1.62,536.8,25.1,0
1.87,20.62,46.5,62.2,3.87,2.78,517.7,20.0,0
2.23,17.65,32.8,24.1,1.07,3.48,657.7,24.0,0
1.77,24.54,48.1,44.6,0.94,0.85,906.5,22.2,0
1.03,16.77,25.1,50.6,0.56,0.68,439.7,36.5,0
2.37,32.5,36.4,30.1,1.56,0.84,546.0,34.0,0
2.56,27.83,46.1,42.7,3.1,1.58,620.3,13.8,0
1.25,22.06,56.9,58.4,1.33,0.02,603.7,29.3,0
1.8,25.9,59.3,41.0,1.74,0.23,635.7,15.5,0
2.45,14.63,42.6,33.2,2.54,2.86,637.6,20.4,0
3.02,33.36,46.6,59.3,0.81,0.26,438.3,33.8,0
2.21,19.34,54.8,52.4,0.6,0.31,679.3,15.9,0
1.91,21.46,31.7,47.3,2.92,3.37,483.2,18.5,0
2.13,13.65,49.0,47.0,1.5,0.42,542.1,20.8,0
2.75,24.19,36.7,58.3,0.58,0.41,592.2,16.9,0
1.94,17.02,43.3,50.9,4.91,3.09,393.3,18.1,0
1.88,22.46,40.4,54.5,0.43,0.56,565.1,27.6,0
2.01,19.55,49.4,41.1,1.33,0.82,593.1,16.2,0
1.82,17.15,50.5,28.8,6.67,0.99,216.0,26.3,0
2.25,18.38,53.9,54.2,1.94,2.43,710.2,28.1,0
2.85,23.02,48.5,59.0,3.55,0.1,377.2,33.3,0
2.33,16.23,46.7,45.8,0.81,0.36,541.0,34.5,0
2.1,18.63,63.5,56.9,2.34,1.06,729.4,18.4,0
2.08,24.98,29.8,44.6,1.42,0.68,598.1,18.7,0
1.57,33.71,62.0,47.1,1.9,0.39,656.1,18.3,0
2.55,24.15,42.1,65.5,0.92,0.63,666.5,33.5,0
2.17,17.87,50.7,45.1,1.64,4.07,426.2,30.4,0
2.13,20.35,41.7,44.5,5.12,0.03,344.5,25.5,0
3.48,22.14,38.0,29.3,2.13,0.19,562.3,19.7,0
2.32,20.43,49.8,54.9,3.84,0.02,606.9,29.1,0
1.9,26.06,55.4,40.9,2.92,1.08,665.5,37.6,0
2.03,22.98,49.7,49.5,4.44,0.02,617.1,37.1,0
2.66,26.09,39.6,44.8,3.64,0.73,426.2,17.7,0
2.25,20.59,81.1,43.5,4.93,2.35,632.0,35.5,0
1.62,27.96,57.0,46.8,1.64,0.12,184.8,17.6,0
2.57,21.25,54.3,47.6,1.91,0.55,690.8,25.2,0
1.93,17.63,41.5,59.8,1.25,0.57,366.6,24.4,0
2.95,31.8,38.7,63.2,0.56,0.54,363.4,29.9,0
2.63,13.79,42.2,54.5,4.38,1.56,873.2,21.0,0
2.02,18.68,55.8,60.7,0.78,0.01,508.6,28.7,0
2.71,19.18,35.1,56.5,0.36,1.82,461.7,20.4,0
2.23,33.29,34.3,52.9,1.17,2.19,327.0,29.2,0
2.54,30.13,50.4,62.6,2.98,0.68,566.4,18.8,0
2.39,28.72,48.2,34.9,4.18,2.62,619.0,25.2,0
1.86,20.51,37.3,41.2,2.92,0.58,447.3,28.0,0
1.94,32.92,34.1,39.8,2.7,1.42,177.8,26.2,0
2.61,23.66,59.4,45.0,6.84,0.59,744.0,33.9,0
2.07,26.4,48.6,54.9,0.53,0.05,456.7,12.2,0
2.04,22.81,31.4,36.8,1.89,0.1,453.3,29.2,0
1.82,21.78,32.1,53.0,1.08,0.7,494.7,22.2,0
2.37,20.87,41.4,42.1,2.49,5.54,379.2,32.1,0
3.03,21.06,52.3,44.5,1.17,0.23,691.1,28.2,0
1.77,24.74,51.0,50.0,0.3,2.71,609.0,35.6,0
2.21,23.65,56.3,64.8,2.49,3.02,573.2,26.4,0
2.76,21.86,30.1,40.9,2.3,0.63,846.7,36.6,0
2.17,28.79,47.2,47.2,1.07,0.74,395.4,29.1,0
2.38,8.65,59.3,37.2,1.24,0.84,691.5,18.9,0
1.78,24.29,58.3,40.8,0.68,1.77,166.4,22.3,0
2.37,25.23,48.6,37.1,1.6,0.16,596.6,23.9,0
2.13,27.16,68.5,50.4,9.86,0.48,838.8,28.8,0
2.59,21.71,51.1,52.3,5.4,0.22,342.5,34.3,0
2.67,22.94,55.4,54.9,1.29,2.53,746.6,32.3,0
3.24,26.44,45.4,40.5,1.86,0.09,292.6,32.7,0
2.43,28.71,37.2,53.1,0.91,1.65,811.7,22.8,0
2.33,20.65,36.2,49.1,3.65,0.7,430.9,34.2,0
2.28,23.2,46.8,47.4,0.39,1.5,388.9,28.7,0
2.06,29.55,42.9,35.6,0.66,2.65,419.7,33.6,0
2.34,12.44,27.3,49.5,0.9,0.5,504.8,17.7,0
2.08,18.89,34.7,49.8,0.81,0.31,477.2,31.2,0
2.27,28.6,41.8,49.0,0.51,1.26,492.1,23.7,0
2.73,26.92,52.3,52.0,1.02,7.2,547.4,19.1,1
1.8,24.35,44.8,54.9,1.84,1.57,535.9,32.5,0
2.66,19.98,44.3,37.0,0.9,1.91,500.9,25.0,0
2.73,18.03,35.1,45.8,0.54,1.19,433.7,31.7,0
2.15,19.34,45.2,53.2,1.17,0.55,564.3,21.2,0
1.35,28.97,58.2,45.3,1.89,1.28,556.4,42.2,0
1.96,19.17,46.6,57.6,0.5,0.17,549.3,27.2,0
2.72,22.46,29.9,48.9,2.31,0.81,499.7,24.7,0
2.19,18.61,32.5,28.5,0.34,1.02,396.1,34.9,0
1.8,25.79,50.9,56.4,1.16,2.85,511.1,27.4,0
2.0,19.58,42.8,46.8,1.08,3.03,458.4,50.2,0
2.54,21.56,44.3,30.3,0.3,0.07,190.1,36.2,0
2.42,14.42,38.9,45.5,5.78,1.2,649.9,24.7,0
2.1,14.74,50.0,35.3,1.64,1.91,539.0,28.5,0
2.05,22.03,42.0,55.5,0.96,0.92,497.0,28.5,0
2.04,16.04,43.1,47.6,0.3,0.12,578.7,20.6,0
1.83,31.47,36.5,38.8,2.57,0.32,386.8,37.0,0
2.85,12.72,54.2,56.1,1.1,0.45,703.9,25.0,0
2.07,18.4,42.8,52.6,2.55,1.3,681.0,26.3,0
2.69,22.08,51.1,45.6,0.88,0.08,325.7,29.5,0
2.81,20.36,33.1,35.5,2.65,0.96,405.1,21.6,0
2.6,17.03,62.3,39.6,0.46,0.14,601.3,29.5,0
2.03,17.69,57.8,39.4,4.31,0.6,537.0,24.5,0
2.36,17.54,25.9,55.5,1.44,0.67,497.4,24.7,0
2.19,20.71,37.0,31.2,1.89,0.72,566.0,26.9,0
1.84,30.78,49.8,47.5,2.78,1.49,219.2,22.9,0
2.33,22.35,31.8,45.5,1.65,0.1,361.7,17.0,0
1.73,27.32,43.7,58.4,2.59,0.37,409.7,29.2,0
2.68,24.28,49.3,50.3,0.45,1.23,614.4,12.0,0
2.01,27.01,43.2,53.4,1.63,3.45,176.9,12.2,0
2.28,9.4,50.4,42.7,3.64,1.16,527.2,28.3,0
2.31,20.63,38.1,35.7,1.54,2.58,443.5,26.7,0
2.1,27.88,22.6,44.7,4.13,4.15,597.7,29.8,0
2.43,19.43,54.8,55.8,1.53,2.58,621.2,32.7,0
2.01,29.93,54.8,55.7,1.72,4.3,754.7,14.2,0
2.55,28.68,70.0,43.7,0.61,1.8,323.9,23.7,0
1.66,19.89,22.9,39.4,0.52,2.62,376.8,24.9,0
2.25,19.74,52.5,37.4,1.81,0.81,507.3,30.2,0
2.98,17.44,25.3,46.6,1.46,0.51,711.5,29.6,0
1.8,19.17,62.6,49.4,0.3,9.78,565.6,25.2,0
1.93,16.45,49.9,62.7,3.31,0.12,515.8,28.3,0
2.41,23.93,35.5,49.2,0.47,3.81,683.7,26.1,0
2.27,15.45,52.8,54.1,1.65,0.68,440.4,21.6,0
2.34,24.72,39.5,40.2,1.73,0.03,675.4,28.4,0
2.4,24.83,48.0,48.4,3.11,1.95,760.3,13.0,0
2.45,14.52,47.1,49.4,4.53,0.7,477.0,29.7,0
2.64,28.97,62.4,46.6,4.51,1.92,267.6,37.9,0
2.36,24.31,63.1,47.8,1.62,0.06,521.8,25.6,0
2.1,25.37,39.0,49.3,3.58,4.39,746.6,42.4,0
2.47,18.59,55.6,52.8,2.09,1.33,574.0,32.2,0
2.96,24.8,48.5,59.7,1.64,0.06,293.6,38.2,0
2.15,27.07,30.9,25.3,1.07,0.01,690.5,30.7,0
1.81,21.56,38.0,59.1,0.8,1.08,619.3,31.9,0
2.64,31.01,68.4,30.9,3.02,4.5,649.9,29.0,0
2.15,22.2,48.6,51.1,0.73,0.89,669.9,17.0,0
1.33,27.13,55.0,71.6,1.76,0.52,418.6,14.2,0
2.54,23.32,42.9,47.6,3.24,3.35,658.8,26.3,0
1.99,24.63,39.6,49.8,0.77,4.96,403.2,23.8,0
2.16,14.48,45.3,44.9,1.73,1.84,322.8,24.0,0
2.33,23.67,42.3,54.7,1.25,1.52,375.7,19.2,0
2.28,18.69,30.1,51.6,1.5,0.0,603.9,35.8,0
2.48,18.19,35.0,41.2,1.94,0.45,438.6,20.8,0
2.03,29.85,52.1,46.9,1.3,3.11,721.3,20.3,0
2.41,21.04,41.2,36.8,3.67,0.55,667.2,28.3,0
2.1,17.49,45.3,46.8,0.35,0.49,601.1,35.6,0
2.5,20.38,47.3,43.8,2.75,0.92,707.0,33.9,0
2.45,16.15,48.1,49.4,1.36,0.71,323.7,23.5,0
1.83,28.45,56.5,40.9,0.45,2.35,643.5,26.5,0
2.63,18.87,34.0,45.9,1.31,0.1,586.1,39.5,0
1.99,24.38,50.7,48.1,6.01,1.29,309.0,35.7,0
2.52,28.1,52.6,48.8,0.87,1.43,392.0,34.1,0
2.35,19.75,54.9,50.7,0.85,2.55,476.2,30.7,0
2.94,24.39,30.9,46.3,1.89,0.64,471.9,28.7,0
2.11,17.36,47.5,40.1,2.7,0.42,493.8,42.1,0
2.06,33.01,62.2,48.8,3.22,1.18,407.1,35.9,0
2.19,26.21,44.0,46.2,3.49,1.55,721.9,28.9,0
2.08,21.13,49.8,58.2,1.26,0.23,314.8,33.1,0
2.52,18.52,52.8,59.5,2.16,0.21,319.3,26.3,0
